Query	Oxigraph	Fuseki	GraphDB
Q1	606.011	185.208	216.501
Q2	533.988	99.838	91.876
Q3	N/A	129.621	N/A
Q4	622.131	115.130	85.698
Q5	N/A	100000	100000
Q6	N/A	142.600	N/A
Q7	388.227	237.749	1419.740
Q8	285.841	223.663	1119.541
Q9	N/A	216.149	N/A
Q10	443.620	101.384	227.556
Q11	353.570	197.742	96.191
Q12	N/A	100000	100000
