,Oxigraph,Fuseki,GraphDB,Morph-KGC,SPARQL-Anything
reification,216.99,555.47,30.73,12.29,22.16
rdf-star,38.24,7.91,9.20,8.12,20.17
named-graphs,N/A,106.18,N/A,6.29,21.91
n-ary,6352.701833,656.34,300.53,8.07,23.39
