Query	Oxigraph	Fuseki	GraphDB
Q1	43.932	12.347	20.366
Q2	39.344	7.392	9.021
Q3	N/A	9.424	N/A
Q4	48.300	8.286	8.949
Q5	N/A	1408.531	844.092
Q6	N/A	7.731	N/A
Q7	39.500	10.953	64.178
Q8	28.758	11.145	47.530
Q9	N/A	8.500	N/A
Q10	36.160	12.108	22.210
Q11	29.420	8.094	9.635
Q12	N/A	890.306	676.530
