tc,Oxigraph,Fuseki,GraphDB,Morph-KGC,SPARQL-Anything
reification,4.097,0.97,2.027,2.324,3.631
rdf-star,3.781,0.701,0.96,1.736,3.105
named-graphs,N/A,0.836,N/A,1.55,3.598
n-ary,20.841,5.186,4.556,1.753,3.507
