Query	Oxigraph	Fuseki	GraphDB
Q1	0.531	0.140	0.233
Q2	0.491	0.099	0.131
Q3	N/A	0.133	N/A
Q4	0.632	0.133	0.131
Q5	1.116	0.333	0.275
Q6	N/A	0.130	N/A
Q7	0.577	0.150	0.292
Q8	0.481	0.183	0.202
Q9	N/A	0.117	N/A
Q10	0.477	0.124	0.252
Q11	0.413	0.121	0.142
Q12	0.868	0.231	0.254
